Year,Units,Series,Álitisstig,Value
2007,Í tali,Niðara mark,,0.845633980625
2007,Í tali,Reyðlistavísital,,0.88519659225665
2007,Í tali,Ovara mark,,0.90588592213919
2008,Í tali,Niðara mark,,0.84069621875
2008,Í tali,Reyðlistavísital,,0.88588287581465
2008,Í tali,Ovara mark,,0.91006521098186
2009,Í tali,Niðara mark,,0.83796408625
2009,Í tali,Reyðlistavísital,,0.88456322541057
2009,Í tali,Ovara mark,,0.91214148729907
2010,Í tali,Niðara mark,,0.83797469909369
2010,Í tali,Reyðlistavísital,,0.88467982359872
2010,Í tali,Ovara mark,,0.91777159101086
2011,Í tali,Niðara mark,,0.83215731638101
2011,Í tali,Reyðlistavísital,,0.88570795904019
2011,Í tali,Ovara mark,,0.92224917871657
2012,Í tali,Niðara mark,,0.82694123331458
2012,Í tali,Reyðlistavísital,,0.8856337980843
2012,Í tali,Ovara mark,,0.92343777174635
2013,Í tali,Niðara mark,,0.81948583693845
2013,Í tali,Reyðlistavísital,,0.88712324324317
2013,Í tali,Ovara mark,,0.92758162093261
2014,Í tali,Niðara mark,,0.81964742142544
2014,Í tali,Reyðlistavísital,,0.88379278194246
2014,Í tali,Ovara mark,,0.93274490527664
2015,Í tali,Niðara mark,,0.80697530940772
2015,Í tali,Reyðlistavísital,,0.87995809238584
2015,Í tali,Ovara mark,,0.9304321875071
2016,Í tali,Niðara mark,,0.80164016924563
2016,Í tali,Reyðlistavísital,,0.87708229985325
2016,Í tali,Ovara mark,,0.93504250283197
2017,Í tali,Niðara mark,,0.78895005839941
2017,Í tali,Reyðlistavísital,,0.87072479935616
2017,Í tali,Ovara mark,,0.94338766467224
2018,Í tali,Niðara mark,,0.78695159531698
2018,Í tali,Reyðlistavísital,,0.86634265766622
2018,Í tali,Ovara mark,,0.94417507318101
2019,Í tali,Niðara mark,,0.77527047640312
2019,Í tali,Reyðlistavísital,,0.86562392386566
2019,Í tali,Ovara mark,,0.95407387396179
2020,Í tali,Niðara mark,,0.76864183454974
2020,Í tali,Reyðlistavísital,,0.86007358050682
2020,Í tali,Ovara mark,,0.94784670845374
1993,,,Niðara mark,0.828958038591179
1993,,,Reyðlistavísital,0.887164353136477
1993,,,Ovara mark,0.927147006943324
1994,,,Niðara mark,0.834526841672687
1994,,,Reyðlistavísital,0.886121129988965
1994,,,Ovara mark,0.922149451293647
1995,,,Niðara mark,0.836162686518185
1995,,,Reyðlistavísital,0.886673181461555
1995,,,Ovara mark,0.917125502736295
1996,,,Niðara mark,0.843178725
1996,,,Reyðlistavísital,0.8881749875
1996,,,Ovara mark,0.914601102671674
1997,,,Niðara mark,0.843319324999999
1997,,,Reyðlistavísital,0.887612735416666
1997,,,Ovara mark,0.912926524375834
1998,,,Niðara mark,0.847889963333332
1998,,,Reyðlistavísital,0.888429614583333
1998,,,Ovara mark,0.91156518875
1999,,,Niðara mark,0.848827938125
1999,,,Reyðlistavísital,0.888193291666667
1999,,,Ovara mark,0.911201623333332
2000,,,Niðara mark,0.850480503541667
2000,,,Reyðlistavísital,0.888682606249999
2000,,,Ovara mark,0.910286428125
2001,,,Niðara mark,0.854183091041667
2001,,,Reyðlistavísital,0.886442114583332
2001,,,Ovara mark,0.909396090625
2002,,,Niðara mark,0.854939147291666
2002,,,Reyðlistavísital,0.884994487499999
2002,,,Ovara mark,0.90887532125
2003,,,Niðara mark,0.854478669166667
2003,,,Reyðlistavísital,0.8851053875
2003,,,Ovara mark,0.907572354374999
2004,,,Niðara mark,0.851646441041666
2004,,,Reyðlistavísital,0.885257981249999
2004,,,Ovara mark,0.906281494166667
2005,,,Niðara mark,0.849285104999999
2005,,,Reyðlistavísital,0.884151295833332
2005,,,Ovara mark,0.904960997708332
2006,,,Niðara mark,0.846651650833332
2006,,,Reyðlistavísital,0.88356944375
2006,,,Ovara mark,0.9043829125
2007,,,Niðara mark,0.845633980624999
2007,,,Reyðlistavísital,0.885196592256654
2007,,,Ovara mark,0.905885922139192
2008,,,Niðara mark,0.84069621875
2008,,,Reyðlistavísital,0.885882875814646
2008,,,Ovara mark,0.910065210981863
2009,,,Niðara mark,0.837964086249999
2009,,,Reyðlistavísital,0.884563225410567
2009,,,Ovara mark,0.912141487299067
2010,,,Niðara mark,0.837974699093687
2010,,,Reyðlistavísital,0.884679823598724
2010,,,Ovara mark,0.917771591010855
2011,,,Niðara mark,0.832157316381012
2011,,,Reyðlistavísital,0.885707959040186
2011,,,Ovara mark,0.922249178716568
2012,,,Niðara mark,0.826941233314576
2012,,,Reyðlistavísital,0.885633798084299
2012,,,Ovara mark,0.923437771746349
2013,,,Niðara mark,0.819485836938452
2013,,,Reyðlistavísital,0.887123243243174
2013,,,Ovara mark,0.927581620932612
2014,,,Niðara mark,0.819647421425442
2014,,,Reyðlistavísital,0.883792781942461
2014,,,Ovara mark,0.932744905276636
2015,,,Niðara mark,0.806975309407722
2015,,,Reyðlistavísital,0.879958092385844
2015,,,Ovara mark,0.930432187507096
2016,,,Niðara mark,0.801640169245634
2016,,,Reyðlistavísital,0.877082299853249
2016,,,Ovara mark,0.935042502831969
2017,,,Niðara mark,0.788950058399412
2017,,,Reyðlistavísital,0.870724799356155
2017,,,Ovara mark,0.943387664672242
2018,,,Niðara mark,0.786951595316975
2018,,,Reyðlistavísital,0.86634265766622
2018,,,Ovara mark,0.944175073181012
2019,,,Niðara mark,0.775270476403117
2019,,,Reyðlistavísital,0.865623923865655
2019,,,Ovara mark,0.954073873961788
2020,,,Niðara mark,0.768641834549737
2020,,,Reyðlistavísital,0.860073580506819
2020,,,Ovara mark,0.94784670845374
