Year,Sex,Age,Value
2016,Females,25-54 years,1.8
2016,Females,55-66 years,1.9
2016,Females,67+ years,1.8
2017,,,3.3
2017,,00-17 years,3.1
2017,,18-24 years,3.5
2017,,25-54 years,4.2
2017,,55-66 years,4.1
2017,,67+ years,4.3
2017,Males,,3.7
2017,Males,00-17 years,2.4
2017,Males,18-24 years,5.1
2017,Males,25-54 years,3.1
2017,Males,55-66 years,2.9
2017,Males,67+ years,3.4
2017,Females,,2.6
2017,Females,00-17 years,3.0
2017,Females,18-24 years,2.3
2017,Females,25-54 years,2.5
2017,Females,55-66 years,2.2
2017,Females,67+ years,2.7
2018,,,3.0
2018,,00-17 years,2.8
2018,,18-24 years,3.2
2018,,25-54 years,3.7
2018,,55-66 years,3.8
2018,,67+ years,3.7
2018,Males,,3.9
2018,Males,00-17 years,2.7
2018,Males,18-24 years,5.4
2018,Males,25-54 years,2.9
2018,Males,55-66 years,2.7
2018,Males,67+ years,3.1
2018,Females,,2.1
2018,Females,00-17 years,2.4
2018,Females,18-24 years,1.9
2018,Females,25-54 years,2.4
2018,Females,55-66 years,2.1
2018,Females,67+ years,2.7
2019,,,2.7
2019,,00-17 years,2.4
2019,,18-24 years,3.1
2019,,25-54 years,3.6
2019,,55-66 years,3.1
2019,,67+ years,4.0
2019,Males,,3.4
2019,Males,00-17 years,2.6
2019,Males,18-24 years,4.4
2019,Males,25-54 years,2.7
2019,Males,55-66 years,2.3
2019,Males,67+ years,3.1
2019,Females,,2.1
2019,Females,00-17 years,2.4
2019,Females,18-24 years,1.8
2019,Females,25-54 years,1.6
2019,Females,55-66 years,1.4
2019,Females,67+ years,1.9
2020,,,2.4
2020,,00-17 years,2.2
2020,,18-24 years,2.7
2020,,25-54 years,3.4
2020,,55-66 years,3.1
2020,,67+ years,3.6
2020,Males,,2.9
2020,Males,00-17 years,1.9
2020,Males,18-24 years,4.1
2020,Males,25-54 years,2.3
2020,Males,55-66 years,2.0
2020,Males,67+ years,2.7
2020,Females,,1.9
2020,Females,00-17 years,2.1
2020,Females,18-24 years,1.7
2020,Females,25-54 years,1.4
2020,Females,55-66 years,1.2
2020,Females,67+ years,1.6
2021,,,2.7
2021,,00-17 years,2.6
2021,,18-24 years,2.8
2021,,25-54 years,3.5
2021,,55-66 years,3.3
2021,,67+ years,3.7
2021,Males,,3.5
2021,Males,00-17 years,2.7
2021,Males,18-24 years,4.4
2021,Males,25-54 years,2.8
2021,Males,55-66 years,2.7
2021,Males,67+ years,2.9
2021,Females,,2.1
2021,Females,00-17 years,2.4
2021,Females,18-24 years,1.7
2021,Females,25-54 years,1.1
2021,Females,55-66 years,1.0
2021,Females,67+ years,1.2
